Land Size (sqft),Location,Type,Floors,Estimated Cost (rs),Time (months),Suggested Materials
9301,Ahmedabad,Industrial,5,113704725,22,"Steel, Iron, Asphalt"
5108,Pune,Institutional,3,31429524,15,"Concrete, Brick, Steel"
4695,Trivandrum,Commercial,6,90622890,8,"Steel, Concrete, Glass"
5655,Trivandrum,Industrial,3,64467000,20,"Reinforced Steel, Concrete"
1624,Bangalore,Residential,7,24191104,24,"Cement, Bricks, Paint"
8852,Ahmedabad,Institutional,8,250971904,24,"Glass, Concrete, Wood"
5820,Kochi,Commercial,2,30950760,14,"Steel, Concrete, Glass"
7605,Kolkata,Commercial,4,150700680,12,"Reinforced Steel, Glass"
1434,Kochi,Mixed-Use,2,11102028,11,"Brick, Wood, Glass"
2866,Bangalore,Mixed-Use,9,103537116,10,"Steel, Concrete, Glass"
8681,Hyderabad,Industrial,7,178168844,22,"Steel, Iron, Asphalt"
9962,Pune,Institutional,2,92009032,12,"Glass, Concrete, Wood"
8583,Hyderabad,Commercial,4,83392428,14,"Reinforced Steel, Glass"
3015,Delhi,Industrial,8,99060840,12,"Reinforced Steel, Concrete"
2375,Chennai,Commercial,2,13618250,22,"Steel, Concrete, Glass"
1454,Kolkata,Mixed-Use,10,45481120,7,"Steel, Concrete, Glass"
3746,Chennai,Institutional,10,139613420,14,"Steel, Paint, Tiles"
5724,Kolkata,Commercial,2,31012632,18,"Aluminum, Tiles, Marble"
1869,Ahmedabad,Mixed-Use,3,16422903,21,"Concrete, Tiles, Aluminum"
9996,Delhi,Commercial,7,265963572,18,"Aluminum, Tiles, Marble"
3930,Trivandrum,Mixed-Use,8,118717440,22,"Concrete, Tiles, Aluminum"
6946,Hyderabad,Residential,7,164488226,10,"Cement, Bricks, Paint"
8873,Mumbai,Commercial,9,366463773,23,"Aluminum, Tiles, Marble"
9235,Ahmedabad,Institutional,2,71441960,17,"Concrete, Brick, Steel"
1642,Bangalore,Industrial,6,28028940,17,"Reinforced Steel, Concrete"
7846,Hyderabad,Commercial,1,20124990,17,"Steel, Concrete, Glass"
5408,Chennai,Commercial,9,139396608,22,"Reinforced Steel, Glass"
